model,repeat,fold,fold_index,num_train,num_test,accuracy,macro_f1,weighted_f1,unweighted_recall,best_epoch
cnn_small,5,1,21,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,5,2,22,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,5,3,23,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,5,4,24,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,5,5,25,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,6,1,26,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,6,2,27,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,6,3,28,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,6,4,29,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,6,5,30,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,7,1,31,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,7,2,32,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,7,3,33,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,7,4,34,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,7,5,35,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,8,1,36,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,8,2,37,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,8,3,38,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,8,4,39,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,8,5,40,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,9,1,41,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,9,2,42,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,9,3,43,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,9,4,44,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,9,5,45,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,10,1,46,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,10,2,47,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,10,3,48,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,10,4,49,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,10,5,50,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_batchnorm,1,1,1,230,58,0.258621,0.160815,0.144179,0.288462,1.0
cnn_batchnorm,1,2,2,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,1,3,3,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,1,4,4,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,1,5,5,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,2,1,6,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,2,2,7,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,2,3,8,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,2,4,9,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,2,5,10,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,3,1,11,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,3,2,12,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,3,3,13,230,58,0.327586,0.123377,0.161666,0.25,3.0
cnn_batchnorm,3,4,14,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,3,5,15,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,4,1,16,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,4,2,17,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_batchnorm,4,3,18,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,4,4,19,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,4,5,20,231,57,0.210526,0.134226,0.154489,0.188259,3.0
cnn_batchnorm,5,1,21,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_batchnorm,5,2,22,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,5,3,23,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_batchnorm,5,4,24,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,5,5,25,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_batchnorm,6,1,26,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,6,2,27,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_batchnorm,6,3,28,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_batchnorm,6,4,29,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,6,5,30,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,7,1,31,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,7,2,32,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,7,3,33,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_batchnorm,7,4,34,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,7,5,35,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_batchnorm,8,1,36,230,58,0.344828,0.128205,0.176835,0.25,2.0
cnn_batchnorm,8,2,37,230,58,0.362069,0.225,0.253448,0.312753,1.0
cnn_batchnorm,8,3,38,230,58,0.275862,0.136418,0.170797,0.216599,3.0
cnn_batchnorm,8,4,39,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,8,5,40,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,9,1,41,230,58,0.344828,0.128205,0.176835,0.25,3.0
cnn_batchnorm,9,2,42,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,9,3,43,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,9,4,44,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,9,5,45,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,10,1,46,230,58,0.344828,0.128205,0.176835,0.25,3.0
cnn_batchnorm,10,2,47,230,58,0.327586,0.123377,0.161666,0.25,2.0
cnn_batchnorm,10,3,48,230,58,0.327586,0.123377,0.161666,0.25,3.0
cnn_batchnorm,10,4,49,231,57,0.333333,0.125,0.166667,0.25,2.0
cnn_batchnorm,10,5,50,231,57,0.333333,0.125,0.166667,0.25,2.0
hybrid_soft_voting,1,1,1,230,58,0.758621,0.746798,0.751316,0.739423,
hybrid_soft_voting,1,2,2,230,58,0.758621,0.747294,0.753732,0.742915,
hybrid_soft_voting,1,3,3,230,58,0.706897,0.702056,0.704665,0.691296,
hybrid_soft_voting,1,4,4,231,57,0.789474,0.767597,0.779252,0.766026,
hybrid_soft_voting,1,5,5,231,57,0.684211,0.662206,0.67926,0.665655,
hybrid_soft_voting,2,1,6,230,58,0.758621,0.735842,0.743053,0.747756,
hybrid_soft_voting,2,2,7,230,58,0.827586,0.820707,0.824476,0.813765,
hybrid_soft_voting,2,3,8,230,58,0.758621,0.750736,0.754743,0.755061,
hybrid_soft_voting,2,4,9,231,57,0.666667,0.659224,0.665357,0.652497,
hybrid_soft_voting,2,5,10,231,57,0.77193,0.76084,0.76751,0.741987,
hybrid_soft_voting,3,1,11,230,58,0.810345,0.796131,0.8053,0.787179,
hybrid_soft_voting,3,2,12,230,58,0.810345,0.782992,0.793412,0.788462,
hybrid_soft_voting,3,3,13,230,58,0.655172,0.626966,0.640268,0.62753,
hybrid_soft_voting,3,4,14,231,57,0.789474,0.780544,0.783904,0.773701,
hybrid_soft_voting,3,5,15,231,57,0.666667,0.652743,0.666239,0.644821,
hybrid_soft_voting,4,1,16,230,58,0.827586,0.820455,0.826019,0.811218,
hybrid_soft_voting,4,2,17,230,58,0.724138,0.711576,0.717902,0.704453,
hybrid_soft_voting,4,3,18,230,58,0.706897,0.692857,0.706968,0.685223,
hybrid_soft_voting,4,4,19,231,57,0.701754,0.677562,0.696322,0.680415,
hybrid_soft_voting,4,5,20,231,57,0.754386,0.733287,0.742448,0.731697,
hybrid_soft_voting,5,1,21,230,58,0.741379,0.725379,0.739681,0.720192,
hybrid_soft_voting,5,2,22,230,58,0.758621,0.748073,0.75443,0.742915,
hybrid_soft_voting,5,3,23,230,58,0.775862,0.764639,0.770995,0.75,
hybrid_soft_voting,5,4,24,231,57,0.719298,0.703675,0.708365,0.708924,
hybrid_soft_voting,5,5,25,231,57,0.719298,0.693945,0.708117,0.688765,
hybrid_soft_voting,6,1,26,230,58,0.810345,0.805522,0.807104,0.807051,
hybrid_soft_voting,6,2,27,230,58,0.689655,0.648142,0.666879,0.665992,
hybrid_soft_voting,6,3,28,230,58,0.741379,0.724967,0.736578,0.717611,
hybrid_soft_voting,6,4,29,231,57,0.807018,0.807122,0.808411,0.788124,
hybrid_soft_voting,6,5,30,231,57,0.77193,0.76049,0.76555,0.751265,
hybrid_soft_voting,7,1,31,230,58,0.758621,0.754063,0.755859,0.73109,
hybrid_soft_voting,7,2,32,230,58,0.775862,0.759772,0.765814,0.756073,
